elapsed_ms,label,r,g,b
56646,rate_80,255,0,0
56667,rate_80,0,0,255
56686,rate_80,255,0,0
56706,rate_80,0,0,255
56725,rate_80,255,0,0
56744,rate_80,0,0,255
56769,rate_80,255,0,0
56792,rate_80,0,0,255
56813,rate_80,255,0,0
56834,rate_80,0,0,255
56853,rate_80,255,0,0
56873,rate_80,0,0,255
56892,rate_80,255,0,0
56912,rate_80,0,0,255
56931,rate_80,255,0,0
56952,rate_80,0,0,255
56972,rate_80,255,0,0
56992,rate_80,0,0,255
57012,rate_80,255,0,0
57032,rate_80,0,0,255
57052,rate_80,255,0,0
57072,rate_80,0,0,255
57091,rate_80,255,0,0
57109,rate_80,0,0,255
57128,rate_80,255,0,0
57156,rate_80,0,0,255
57177,rate_80,255,0,0
57197,rate_80,0,0,255
57217,rate_80,255,0,0
57236,rate_80,0,0,255
57255,rate_80,255,0,0
57275,rate_80,0,0,255
57296,rate_80,255,0,0
57317,rate_80,0,0,255
57337,rate_80,255,0,0
57356,rate_80,0,0,255
57376,rate_80,255,0,0
57396,rate_80,0,0,255
57415,rate_80,255,0,0
57436,rate_80,0,0,255
57464,rate_80,255,0,0
57485,rate_80,0,0,255
57505,rate_80,255,0,0
57525,rate_80,0,0,255
57545,rate_80,255,0,0
57567,rate_80,0,0,255
57587,rate_80,255,0,0
57606,rate_80,0,0,255
57625,rate_80,255,0,0
57644,rate_80,0,0,255
57664,rate_80,255,0,0
57683,rate_80,0,0,255
57703,rate_80,255,0,0
57724,rate_80,0,0,255
57743,rate_80,255,0,0
57762,rate_80,0,0,255
57785,rate_80,255,0,0
57806,rate_80,0,0,255
57827,rate_80,255,0,0
57846,rate_80,0,0,255
57866,rate_80,255,0,0
57886,rate_80,0,0,255
57905,rate_80,255,0,0
57924,rate_80,0,0,255
57943,rate_80,255,0,0
57963,rate_80,0,0,255
57982,rate_80,255,0,0
58003,rate_80,0,0,255
58022,rate_80,255,0,0
58047,rate_80,0,0,255
58068,rate_80,255,0,0
58089,rate_80,0,0,255
58111,rate_80,255,0,0
58128,rate_80,0,0,255
58151,rate_80,255,0,0
58172,rate_80,0,0,255
58194,rate_80,255,0,0
58217,rate_80,0,0,255
58238,rate_80,255,0,0
58256,rate_80,0,0,255
58278,rate_80,255,0,0
58300,rate_80,0,0,255
58320,rate_80,255,0,0
58341,rate_80,0,0,255
58360,rate_80,255,0,0
58380,rate_80,0,0,255
58401,rate_80,255,0,0
58421,rate_80,0,0,255
58441,rate_80,255,0,0
58462,rate_80,0,0,255
58482,rate_80,255,0,0
58504,rate_80,0,0,255
58523,rate_80,255,0,0
58544,rate_80,0,0,255
58566,rate_80,255,0,0
58586,rate_80,0,0,255
58605,rate_80,255,0,0
58624,rate_80,0,0,255
58648,rate_80,255,0,0
58668,rate_80,0,0,255
58689,rate_80,255,0,0
58710,rate_80,0,0,255
58729,rate_80,255,0,0
58748,rate_80,0,0,255
58768,rate_80,255,0,0
58791,rate_80,0,0,255
58809,rate_80,255,0,0
58825,rate_80,0,0,255
58841,rate_80,255,0,0
58859,rate_80,0,0,255
58877,rate_80,255,0,0
58895,rate_80,0,0,255
58911,rate_80,255,0,0
58927,rate_80,0,0,255
58945,rate_80,255,0,0
58962,rate_80,0,0,255
58978,rate_80,255,0,0
58995,rate_80,0,0,255
59011,rate_80,255,0,0
59028,rate_80,0,0,255
59045,rate_80,255,0,0
59062,rate_80,0,0,255
59080,rate_80,255,0,0
59095,rate_80,0,0,255
59112,rate_80,255,0,0
59129,rate_80,0,0,255
59146,rate_80,255,0,0
59171,rate_80,0,0,255
59188,rate_80,255,0,0
59205,rate_80,0,0,255
59222,rate_80,255,0,0
59238,rate_80,0,0,255
59254,rate_80,255,0,0
59270,rate_80,0,0,255
59287,rate_80,255,0,0
59304,rate_80,0,0,255
59320,rate_80,255,0,0
59337,rate_80,0,0,255
59354,rate_80,255,0,0
59371,rate_80,0,0,255
59387,rate_80,255,0,0
59404,rate_80,0,0,255
59420,rate_80,255,0,0
59437,rate_80,0,0,255
59458,rate_80,255,0,0
59474,rate_80,0,0,255
59492,rate_80,255,0,0
59508,rate_80,0,0,255
59525,rate_80,255,0,0
59545,rate_80,0,0,255
59567,rate_80,255,0,0
59586,rate_80,0,0,255
59602,rate_80,255,0,0
59620,rate_80,0,0,255
59640,rate_80,255,0,0
59656,rate_80,0,0,255
59673,rate_80,255,0,0
59689,rate_80,0,0,255
59707,rate_80,255,0,0
59723,rate_80,0,0,255
59741,rate_80,255,0,0
59758,rate_80,0,0,255
59791,rate_80,255,0,0
